Date,Description,Amount
2025-01-02,PAYROLL DIRECT DEPOSIT ACME CORP,3200.00
2025-01-03,RENT PAYMENT GREENWOOD APTS,-1450.00
2025-01-04,WHOLE FOODS MARKET,-86.42
2025-01-04,STARBUCKS STORE 1123,-5.75
2025-01-05,SHELL GAS STATION,-48.20
2025-01-06,NETFLIX SUBSCRIPTION,-15.49
2025-01-07,AMAZON MARKETPLACE,-62.18
2025-01-09,TRADER JOE'S,-54.30
2025-01-10,COMCAST INTERNET,-79.99
2025-01-12,CHIPOTLE,-12.85
2025-01-14,CVS PHARMACY,-23.40
2025-01-15,SPOTIFY SUBSCRIPTION,-10.99
2025-01-18,UBER TRIP,-18.60
2025-01-20,TARGET STORE,-110.45
2025-01-22,ELECTRIC UTILITY CO,-92.10
2025-01-25,DOORDASH ORDER,-31.20
2025-01-28,GYM FITNESS MEMBERSHIP,-39.00
2025-01-31,INTEREST PAID,2.14
2025-02-02,PAYROLL DIRECT DEPOSIT ACME CORP,3200.00
2025-02-03,RENT PAYMENT GREENWOOD APTS,-1450.00
2025-02-05,SAFEWAY,-72.66
2025-02-06,SHELL GAS STATION,-44.10
2025-02-07,NETFLIX SUBSCRIPTION,-15.49
2025-02-08,AMAZON MARKETPLACE,-39.99
2025-02-10,COMCAST INTERNET,-79.99
2025-02-11,STARBUCKS STORE 1123,-6.25
2025-02-13,DELTA AIRLINES,-310.00
2025-02-14,RESTAURANT THE BISTRO,-88.40
2025-02-16,WALGREENS,-18.75
2025-02-15,SPOTIFY SUBSCRIPTION,-10.99
2025-02-19,LYFT RIDE,-22.30
2025-02-21,COSTCO WHOLESALE,-184.55
2025-02-23,ELECTRIC UTILITY CO,-88.40
2025-02-26,UBER EATS,-27.95
2025-02-28,GYM FITNESS MEMBERSHIP,-39.00
2025-03-02,PAYROLL DIRECT DEPOSIT ACME CORP,3200.00
2025-03-03,RENT PAYMENT GREENWOOD APTS,-1450.00
2025-03-05,KROGER,-91.20
2025-03-06,CHEVRON GAS,-50.40
2025-03-07,NETFLIX SUBSCRIPTION,-15.49
2025-03-09,AMAZON MARKETPLACE,-145.30
2025-03-10,COMCAST INTERNET,-79.99
2025-03-12,MCDONALDS,-9.85
2025-03-14,AIRBNB STAY,-420.00
2025-03-15,SPOTIFY SUBSCRIPTION,-10.99
2025-03-17,DENTAL CLINIC,-130.00
2025-03-19,UBER TRIP,-16.40
2025-03-21,BEST BUY,-219.99
2025-03-23,ELECTRIC UTILITY CO,-95.75
2025-03-25,GRUBHUB ORDER,-34.10
2025-03-27,ATM SERVICE FEE,-3.00
2025-03-28,GYM FITNESS MEMBERSHIP,-39.00
2025-03-30,INTEREST PAID,2.31
